Nm_Ruas;Kd_Inf;Panjang;STA_AWAL;STA_AKHIR;No;Kondisi;Tipe_Perke;Lebar_STA
Jl. Klitik-Dimong;001;8.100;8+000;8+100;1;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+000;0+100;2;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;0+100;0+200;3;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+200;0+300;4;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+300;0+400;5;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+400;0+500;6;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;0+500;0+600;7;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;0+600;0+700;8;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+700;0+800;9;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+800;0+900;10;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;0+900;1+000;11;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+000;1+100;12;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+100;1+200;13;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+200;1+300;14;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;1+300;1+400;15;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;1+400;1+500;16;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;1+500;1+600;17;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;1+600;1+700;18;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+700;1+800;19;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+800;1+900;20;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;1+900;2+000;21;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+000;2+100;22;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+100;2+200;23;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+200;2+300;24;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+300;2+400;25;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+400;2+500;26;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+500;2+600;27;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+600;2+700;28;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+700;2+800;29;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;2+800;2+900;30;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;2+900;3+000;31;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;3+000;3+100;32;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+100;3+200;33;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+200;3+300;34;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+300;3+400;35;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+400;3+500;36;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+500;3+600;37;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+600;3+700;38;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+700;3+800;39;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+800;3+900;40;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;3+900;4+000;41;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+000;4+100;42;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+100;4+200;43;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+200;4+300;44;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+300;4+400;45;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+400;4+500;46;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+500;4+600;47;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+600;4+700;48;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;4+700;4+800;49;sedang;aspal;6
Jl. Klitik-Dimong;001;8.100;4+800;4+900;50;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;4+900;5+000;51;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+000;5+100;52;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+100;5+200;53;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+200;5+300;54;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+300;5+400;55;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+400;5+500;56;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+500;5+600;57;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+600;5+700;58;RR;aspal;6
Jl. Klitik-Dimong;001;8.100;5+700;5+800;59;RR;aspal;6
